published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,home_goals,away_goals,p,p_covered
2026-09-18T07:15:29Z,2026-09-18,leagues,1555057,2026-09-18T17:30:00Z,SC Kriens,Étoile Carouge,1-1,1,1,0.1355,0.3465
2026-09-18T07:15:29Z,2026-09-18,leagues,1555057,2026-09-18T17:30:00Z,SC Kriens,Étoile Carouge,1-0,1,0,0.1142,0.3465
2026-09-18T07:15:29Z,2026-09-18,leagues,1555057,2026-09-18T17:30:00Z,SC Kriens,Étoile Carouge,0-0,0,0,0.0968,0.3465
2026-09-18T07:15:29Z,2026-09-18,leagues,1638084,2026-09-18T15:00:00Z,SJK,Mariehamn,2-0,2,0,0.0971,0.2765
2026-09-18T07:15:29Z,2026-09-18,leagues,1638084,2026-09-18T15:00:00Z,SJK,Mariehamn,2-1,2,1,0.0965,0.2765
2026-09-18T07:15:29Z,2026-09-18,leagues,1638084,2026-09-18T15:00:00Z,SJK,Mariehamn,1-1,1,1,0.0829,0.2765
2026-09-18T07:15:29Z,2026-09-18,leagues,1576181,2026-09-18T16:30:00Z,SpVgg Greuther Fürth,1. FC Magdeburg,1-1,1,1,0.0929,0.2509
2026-09-18T07:15:29Z,2026-09-18,leagues,1576181,2026-09-18T16:30:00Z,SpVgg Greuther Fürth,1. FC Magdeburg,1-2,1,2,0.0843,0.2509
2026-09-18T07:15:29Z,2026-09-18,leagues,1576181,2026-09-18T16:30:00Z,SpVgg Greuther Fürth,1. FC Magdeburg,2-1,2,1,0.0737,0.2509
2026-09-18T07:15:29Z,2026-09-18,leagues,1565262,2026-09-18T15:00:00Z,Uta Arad,Sepsi OSK Sfantu Gheorghe,1-1,1,1,0.1278,0.3479
2026-09-18T07:15:29Z,2026-09-18,leagues,1565262,2026-09-18T15:00:00Z,Uta Arad,Sepsi OSK Sfantu Gheorghe,1-0,1,0,0.1245,0.3479
2026-09-18T07:15:29Z,2026-09-18,leagues,1565262,2026-09-18T15:00:00Z,Uta Arad,Sepsi OSK Sfantu Gheorghe,0-0,0,0,0.0956,0.3479
2026-09-18T07:15:29Z,2026-09-18,leagues,1584011,2026-09-18T17:00:00Z,Verl,Würzburger Kickers,3-1,3,1,0.0712,0.1958
2026-09-18T07:15:29Z,2026-09-18,leagues,1584011,2026-09-18T17:00:00Z,Verl,Würzburger Kickers,2-1,2,1,0.0682,0.1958
2026-09-18T07:15:29Z,2026-09-18,leagues,1584011,2026-09-18T17:00:00Z,Verl,Würzburger Kickers,4-1,4,1,0.0564,0.1958
2026-09-18T07:15:29Z,2026-09-18,leagues,1576187,2026-09-18T16:30:00Z,VfL Wolfsburg,SV Darmstadt 98,1-1,1,1,0.1019,0.2825
2026-09-18T07:15:29Z,2026-09-18,leagues,1576187,2026-09-18T16:30:00Z,VfL Wolfsburg,SV Darmstadt 98,2-1,2,1,0.0980,0.2825
2026-09-18T07:15:29Z,2026-09-18,leagues,1576187,2026-09-18T16:30:00Z,VfL Wolfsburg,SV Darmstadt 98,2-0,2,0,0.0826,0.2825
2026-09-18T07:15:29Z,2026-09-18,leagues,1520889,2026-09-18T22:30:00Z,Vila Nova,America Mineiro,1-1,1,1,0.1296,0.3386
2026-09-18T07:15:29Z,2026-09-18,leagues,1520889,2026-09-18T22:30:00Z,Vila Nova,America Mineiro,1-0,1,0,0.1169,0.3386
2026-09-18T07:15:29Z,2026-09-18,leagues,1520889,2026-09-18T22:30:00Z,Vila Nova,America Mineiro,2-1,2,1,0.0921,0.3386
2026-09-18T07:15:29Z,2026-09-18,leagues,1553180,2026-09-18T18:30:00Z,Wisla Krakow,Slask Wroclaw,2-1,2,1,0.0943,0.2660
2026-09-18T07:15:29Z,2026-09-18,leagues,1553180,2026-09-18T18:30:00Z,Wisla Krakow,Slask Wroclaw,2-0,2,0,0.0917,0.2660
2026-09-18T07:15:29Z,2026-09-18,leagues,1553180,2026-09-18T18:30:00Z,Wisla Krakow,Slask Wroclaw,1-1,1,1,0.0800,0.2660
2026-09-18T07:15:29Z,2026-09-18,leagues,1561667,2026-09-18T16:00:00Z,Zawisza Bydgoszcz,Górnik Łęczna,1-1,1,1,0.1045,0.2660
2026-09-18T07:15:29Z,2026-09-18,leagues,1561667,2026-09-18T16:00:00Z,Zawisza Bydgoszcz,Górnik Łęczna,1-2,1,2,0.0894,0.2660
2026-09-18T07:15:29Z,2026-09-18,leagues,1561667,2026-09-18T16:00:00Z,Zawisza Bydgoszcz,Górnik Łęczna,2-1,2,1,0.0721,0.2660
2026-09-18T07:15:29Z,2026-09-18,cups,1638820,2026-09-18T18:45:00Z,Yate Town,Chippenham Town,1-2,1,2,0.0908,0.2487
2026-09-18T07:15:29Z,2026-09-18,cups,1638820,2026-09-18T18:45:00Z,Yate Town,Chippenham Town,1-1,1,1,0.0869,0.2487
2026-09-18T07:15:29Z,2026-09-18,cups,1638820,2026-09-18T18:45:00Z,Yate Town,Chippenham Town,0-2,0,2,0.0710,0.2487
2026-09-18T07:15:29Z,2026-09-18,women,1593138,2026-09-18T16:30:00Z,1899 Hoffenheim W,VfL Wolfsburg W,1-1,1,1,0.0910,0.2351
2026-09-18T07:15:29Z,2026-09-18,women,1593138,2026-09-18T16:30:00Z,1899 Hoffenheim W,VfL Wolfsburg W,1-2,1,2,0.0802,0.2351
2026-09-18T07:15:29Z,2026-09-18,women,1593138,2026-09-18T16:30:00Z,1899 Hoffenheim W,VfL Wolfsburg W,2-1,2,1,0.0639,0.2351
2026-09-18T07:15:29Z,2026-09-18,women,1573584,2026-09-18T18:00:00Z,Deportivo Alavés W,Barcelona W,0-0,0,0,0.2661,0.6405
