published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,p,p_covered
2026-09-22T07:15:52Z,2026-09-22,cups,1640765,2026-09-22T18:45:00Z,Truro City,Merthyr Town,0-1,0.1329,0.5547
2026-09-22T07:15:52Z,2026-09-22,cups,1588823,2026-09-22T18:00:00Z,Wigan,Blackpool,0-1,0.1130,0.3236
2026-09-22T07:15:52Z,2026-09-22,cups,1588823,2026-09-22T18:00:00Z,Wigan,Blackpool,0-2,0.1104,0.3236
2026-09-22T07:15:52Z,2026-09-22,cups,1588823,2026-09-22T18:00:00Z,Wigan,Blackpool,1-1,0.1002,0.3236
2026-09-22T07:15:52Z,2026-09-22,cups,1640766,2026-09-22T18:45:00Z,Wimborne Town,Weston-super-Mare,0-1,0.2039,0.4966
2026-09-22T07:15:52Z,2026-09-22,cups,1640766,2026-09-22T18:45:00Z,Wimborne Town,Weston-super-Mare,0-2,0.1485,0.4966
2026-09-22T07:15:52Z,2026-09-22,cups,1640766,2026-09-22T18:45:00Z,Wimborne Town,Weston-super-Mare,0-0,0.1442,0.4966
2026-09-22T07:15:52Z,2026-09-22,cups,1640768,2026-09-22T18:45:00Z,Worksop Town,AFC Telford United,1-2,0.0688,0.1960
2026-09-22T07:15:52Z,2026-09-22,cups,1640768,2026-09-22T18:45:00Z,Worksop Town,AFC Telford United,2-2,0.0671,0.1960
2026-09-22T07:15:52Z,2026-09-22,cups,1640768,2026-09-22T18:45:00Z,Worksop Town,AFC Telford United,1-1,0.0601,0.1960
2026-09-22T07:15:52Z,2026-09-22,women,1638300,2026-09-22T16:45:00Z,Bayern Munich W,Manchester City W,1-1,0.0946,0.2401
2026-09-22T07:15:52Z,2026-09-22,women,1638300,2026-09-22T16:45:00Z,Bayern Munich W,Manchester City W,1-2,0.0749,0.2401
2026-09-22T07:15:52Z,2026-09-22,women,1638300,2026-09-22T16:45:00Z,Bayern Munich W,Manchester City W,2-1,0.0706,0.2401
2026-09-22T07:15:52Z,2026-09-22,women,1638310,2026-09-22T19:00:00Z,Juventus W,SL Benfica W,1-0,0.1751,0.4363
2026-09-22T07:15:52Z,2026-09-22,women,1638310,2026-09-22T19:00:00Z,Juventus W,SL Benfica W,0-0,0.1324,0.4363
2026-09-22T07:15:52Z,2026-09-22,women,1638310,2026-09-22T19:00:00Z,Juventus W,SL Benfica W,2-0,0.1288,0.4363
2026-09-22T07:15:52Z,2026-09-22,women,1638331,2026-09-22T19:00:00Z,Real Madrid W,Paris Saint Germain W,3-0,0.0946,0.2662
2026-09-22T07:15:52Z,2026-09-22,women,1638331,2026-09-22T19:00:00Z,Real Madrid W,Paris Saint Germain W,2-0,0.0918,0.2662
2026-09-22T07:15:52Z,2026-09-22,women,1638331,2026-09-22T19:00:00Z,Real Madrid W,Paris Saint Germain W,4-0,0.0798,0.2662
